,country,Population,page,rev_id
9805,"Congo, Dem. Rep. of",0,Prospère Mushobekwa,806071312.0
9806,"Congo, Dem. Rep. of",0,Moïse Tshombe,801110165.0
9807,"Congo, Dem. Rep. of",0,Minister of Defence (Democratic Republic of the Congo),801107444.0
9808,"Congo, Dem. Rep. of",0,Antoine-Roger Bolamba,799328685.0
9809,"Congo, Dem. Rep. of",0,Union of Congolese Patriots,789898887.0
9810,"Congo, Dem. Rep. of",0,Fernand Kazadi,799328311.0
9811,"Congo, Dem. Rep. of",0,Ferdinand Essandja,788054013.0
9812,"Congo, Dem. Rep. of",0,Lambert Mende Omalanga,786579616.0
9813,"Congo, Dem. Rep. of",0,Antipas Mbusa,789437538.0
9814,"Congo, Dem. Rep. of",0,Joseph Kasa-Vubu,804197745.0
9815,"Congo, Dem. Rep. of",0,Christophe Gbenye,800537411.0
9816,"Congo, Dem. Rep. of",0,Augustin Matata Ponyo,799930121.0
9817,"Congo, Dem. Rep. of",0,Léonard Mulamba,772317052.0
9818,"Congo, Dem. Rep. of",0,Godefroid Munongo,801112469.0
9819,"Congo, Dem. Rep. of",0,Arthur Z'ahidi Ngoma,783354232.0
9820,"Congo, Dem. Rep. of",0,Tabu Ley Rochereau,804587534.0
9821,"Congo, Dem. Rep. of",0,Aimé Ngoy Mukena,768670214.0
9822,"Congo, Dem. Rep. of",0,Odilon Kafitwe wa pa Bowa,780757242.0
9823,"Congo, Dem. Rep. of",0,Faustin Birindwa,751361476.0
9824,"Congo, Dem. Rep. of",0,Franck Mwe di Malila,804943836.0
9825,"Congo, Dem. Rep. of",0,Laurent Nkunda,800298783.0
9826,"Congo, Dem. Rep. of",0,Aimé Boji,772045942.0
9827,"Congo, Dem. Rep. of",0,Justin Marie Bomboko,787797355.0
9828,"Congo, Dem. Rep. of",0,Christian Malanga,751152656.0
9829,"Congo, Dem. Rep. of",0,Kasongo Munganga,803421580.0
9830,"Congo, Dem. Rep. of",0,Gilbert Pongo,805835265.0
9831,"Congo, Dem. Rep. of",0,Richard Muyej Mangez,723913158.0
9832,"Congo, Dem. Rep. of",0,Antoine Gizenga cabinet,806524828.0
9833,"Congo, Dem. Rep. of",0,Célestin Cibalonza Byaterana,713195149.0
9834,"Congo, Dem. Rep. of",0,Raymond Ramazani Baya,742707920.0
9835,"Congo, Dem. Rep. of",0,Laurent-Désiré Kabila,805923394.0
9836,"Congo, Dem. Rep. of",0,Mpinga Kasenda,799044574.0
9837,"Congo, Dem. Rep. of",0,Marie-Ange Mushobekwa,766647953.0
9838,"Congo, Dem. Rep. of",0,Jean-Marie Runiga Lugerero,750725157.0
9839,"Congo, Dem. Rep. of",0,Minister of Foreign Affairs (Democratic Republic of the Congo),754344309.0
9840,"Congo, Dem. Rep. of",0,Azarias Ruberwa,790305725.0
9841,"Congo, Dem. Rep. of",0,Adolphe Muzito cabinet,787716080.0
9842,"Congo, Dem. Rep. of",0,Alexandre Luba Ntambo,749397818.0
9843,"Congo, Dem. Rep. of",0,Emile Mota,784182810.0
9844,"Congo, Dem. Rep. of",0,Georges Minsay Booka,805279692.0
9845,"Congo, Dem. Rep. of",0,Joseph Okito,801770255.0
9846,"Congo, Dem. Rep. of",0,Ekila Liyonda,799913697.0
9847,"Congo, Dem. Rep. of",0,Joseph Kabila,798455633.0
9848,"Congo, Dem. Rep. of",0,Munga Mibindo,797435100.0
9849,"Congo, Dem. Rep. of",0,Oscar Kashala,749419078.0
9850,"Congo, Dem. Rep. of",0,Jean Nguza Karl-i-Bond,787378464.0
9851,"Congo, Dem. Rep. of",0,Denis Kalume Numbi,714220527.0
9852,"Congo, Dem. Rep. of",0,Germain Kambinga,763943185.0
9853,"Congo, Dem. Rep. of",0,Monique Mukuna Mutombo,799533831.0
9854,"Congo, Dem. Rep. of",0,Martin Kabwelulu,788465848.0
9855,"Congo, Dem. Rep. of",0,Antoine Ghonda,793411567.0
9856,"Congo, Dem. Rep. of",0,Jeannette Kavira Mapera,776372644.0
9857,"Congo, Dem. Rep. of",0,Bertrand Bisimwa,791074307.0
9858,"Congo, Dem. Rep. of",0,Eric Lenge,797446004.0
9859,"Congo, Dem. Rep. of",0,Richard Ndambu Wolang,764771546.0
9860,"Congo, Dem. Rep. of",0,Germain Katanga,805368981.0
9861,"Congo, Dem. Rep. of",0,Charles Mwando Simba,764791046.0
9862,"Congo, Dem. Rep. of",0,Simon Mbatshi Batshia,764771615.0
9863,"Congo, Dem. Rep. of",0,Mavua Mudima,592289232.0
