country,population,page,rev_id,prediction
"Congo, Dem. Rep. of",0,Dolly Makambo Nawezi,763323939.0,Stub
"Congo, Dem. Rep. of",0,Kisula Ngoy,713583472.0,Stub
"Congo, Dem. Rep. of",0,Delphin Kyubwa,718961623.0,Stub
"Congo, Dem. Rep. of",0,Justine Kasa-Vubu,786751925.0,Start
"Congo, Dem. Rep. of",0,Chikez Diemu,753704394.0,Stub
"Congo, Dem. Rep. of",0,List of mayors of Goma,806372703.0,Stub
"Congo, Dem. Rep. of",0,Jean Andeka,768228272.0,Stub
"Congo, Dem. Rep. of",0,Anicet Kashamura,790738130.0,Stub
"Congo, Dem. Rep. of",0,Abdoulaye Yerodia Ndombasi,794072384.0,Start
"Congo, Dem. Rep. of",0,Alexis Thambwe Mwamba,801968131.0,Start
"Congo, Dem. Rep. of",0,Christian Atoki Ileka,787978838.0,Stub
"Congo, Dem. Rep. of",0,Patrice Lumumba,807273861.0,FA
"Congo, Dem. Rep. of",0,Paul Joseph Mukungubila Mutombo,788024194.0,C
"Congo, Dem. Rep. of",0,Jeannette Kavira Mapera,776372644.0,Stub
"Congo, Dem. Rep. of",0,André-Philippe Futa,708009445.0,Start
"Congo, Dem. Rep. of",0,Pierre Lumbi Okongo,774679596.0,Start
"Congo, Dem. Rep. of",0,Eugène Serufuli Ngayabaseka,806189185.0,Start
"Congo, Dem. Rep. of",0,Julien Paluku Kahongya,806189633.0,B
"Congo, Dem. Rep. of",0,Jean-Pierre Bemba,807193274.0,GA
"Congo, Dem. Rep. of",0,Guy-Patrice Lumumba,798185563.0,Stub
"Congo, Dem. Rep. of",0,Leonard Mashako Mamba,804709167.0,Stub
"Congo, Dem. Rep. of",0,Cléophas Kamitatu,786874201.0,C
"Congo, Dem. Rep. of",0,Eugène Diomi Ndongala Nzomambu,705390654.0,Stub
"Congo, Dem. Rep. of",0,Gérard Kamanda wa Kamanda,807258156.0,Stub
"Congo, Dem. Rep. of",0,Jason Sendwe,807243537.0,GA
"Congo, Dem. Rep. of",0,Vice-Presidents of the Democratic Republic of the Congo,780035740.0,Stub
"Congo, Dem. Rep. of",0,Maurice Mpolo,805086693.0,GA
"Congo, Dem. Rep. of",0,Mobutu Sese Seko,805038023.0,B
"Congo, Dem. Rep. of",0,Paul Bolya,794134715.0,Start
"Congo, Dem. Rep. of",0,List of provincial governors of the Democratic Republic of the Congo,663088604.0,Stub
"Congo, Dem. Rep. of",0,François Nicéphore Kakese,737533634.0,Stub
"Congo, Dem. Rep. of",0,Clovis Kabongo Malemba,733051797.0,Stub
"Congo, Dem. Rep. of",0,Frédéric Kibassa Maliba,804359582.0,C
"Congo, Dem. Rep. of",0,Richard Muyej Mangez,723913158.0,Stub
"Congo, Dem. Rep. of",0,Sébastien Impeto Pengo,725141090.0,Stub
"Congo, Dem. Rep. of",0,Minister of Foreign Affairs (Democratic Republic of the Congo),754344309.0,Start
"Congo, Dem. Rep. of",0,Faustin Birindwa,751361476.0,Stub
"Congo, Dem. Rep. of",0,Jean-Marie Runiga Lugerero,750725157.0,Stub
"Congo, Dem. Rep. of",0,Marie-Ange Mushobekwa,766647953.0,Stub
"Congo, Dem. Rep. of",0,Raymond Ramazani Baya,742707920.0,Stub
"Congo, Dem. Rep. of",0,Célestin Cibalonza Byaterana,713195149.0,Stub
"Congo, Dem. Rep. of",0,Antoine Gizenga cabinet,806524828.0,Start
"Congo, Dem. Rep. of",0,Gilbert Pongo,805835265.0,C
"Congo, Dem. Rep. of",0,Kasongo Munganga,803421580.0,C
"Congo, Dem. Rep. of",0,Christian Malanga,751152656.0,C
"Congo, Dem. Rep. of",0,Franck Mwe di Malila,804943836.0,C
"Congo, Dem. Rep. of",0,Justin Marie Bomboko,787797355.0,Start
"Congo, Dem. Rep. of",0,Godefroid Munongo,801112469.0,Start
"Congo, Dem. Rep. of",0,Mpinga Kasenda,799044574.0,Stub
"Congo, Dem. Rep. of",0,Odette Babandoa Etoa,799331221.0,Start
"Congo, Dem. Rep. of",0,Ferdinand Essandja,788054013.0,Stub
"Congo, Dem. Rep. of",0,Arthur Z'ahidi Ngoma,783354232.0,Stub
"Congo, Dem. Rep. of",0,Augustin Matata Ponyo,799930121.0,Start
"Congo, Dem. Rep. of",0,Christophe Gbenye,800537411.0,Start
"Congo, Dem. Rep. of",0,Joseph Kasa-Vubu,804197745.0,GA
"Congo, Dem. Rep. of",0,Antipas Mbusa,789437538.0,Start
"Congo, Dem. Rep. of",0,Tabu Ley Rochereau,804587534.0,GA
"Congo, Dem. Rep. of",0,Léonard Mulamba,772317052.0,Start
"Congo, Dem. Rep. of",0,Prospère Mushobekwa,806071312.0,Stub
"Congo, Dem. Rep. of",0,Union of Congolese Patriots,789898887.0,Start
"Congo, Dem. Rep. of",0,Bertrand Bisimwa,791074307.0,Stub
"Congo, Dem. Rep. of",0,Edouard Kiove Kola,756510063.0,Stub
"Congo, Dem. Rep. of",0,Minister of Defence (Democratic Republic of the Congo),801107444.0,Start
"Congo, Dem. Rep. of",0,Fernand Kazadi,799328311.0,Start
"Congo, Dem. Rep. of",0,Aimé Ngoy Mukena,768670214.0,C
"Congo, Dem. Rep. of",0,Moïse Tshombe,801110165.0,C
"Congo, Dem. Rep. of",0,Antoine-Roger Bolamba,799328685.0,Stub
"Congo, Dem. Rep. of",0,José Endundo Bononge,721206007.0,Stub
"Congo, Dem. Rep. of",0,Richard Ndambu Wolang,764771546.0,Stub
"Congo, Dem. Rep. of",0,Germain Katanga,805368981.0,B
"Congo, Dem. Rep. of",0,Charles Mwando Simba,764791046.0,Stub
"Congo, Dem. Rep. of",0,Simon Mbatshi Batshia,764771615.0,C
"Congo, Dem. Rep. of",0,Mavua Mudima,592289232.0,Stub
"Congo, Dem. Rep. of",0,José Makila Sumanda,764771652.0,Stub
"Congo, Dem. Rep. of",0,Jean Nguza Karl-i-Bond,787378464.0,Start
"Congo, Dem. Rep. of",0,Trésor Kapuku Ngoy,764771697.0,Stub
"Congo, Dem. Rep. of",0,Charles Kisolokele,792037043.0,Start
"Congo, Dem. Rep. of",0,Sylvain Ngabu Chumbu,720858135.0,Start
"Congo, Dem. Rep. of",0,Sophie Kanza,790942655.0,Start
"Congo, Dem. Rep. of",0,Kavidi Wivine N'Landu,798489264.0,Stub
"Congo, Dem. Rep. of",0,President of the Democratic Republic of the Congo,801936063.0,C
"Congo, Dem. Rep. of",0,Azarias Ruberwa,790305725.0,Start
"Congo, Dem. Rep. of",0,Jeannot Bemba Saolona,798859637.0,Stub
"Congo, Dem. Rep. of",0,Aimé Boji,772045942.0,Stub
"Congo, Dem. Rep. of",0,Daniel Mukoko Samba,757821887.0,Stub
"Congo, Dem. Rep. of",0,Martin Kabwelulu,788465848.0,Start
"Congo, Dem. Rep. of",0,Monique Mukuna Mutombo,799533831.0,Start
"Congo, Dem. Rep. of",0,Germain Kambinga,763943185.0,Stub
"Congo, Dem. Rep. of",0,Denis Kalume Numbi,714220527.0,Start
"Congo, Dem. Rep. of",0,Oscar Kashala,749419078.0,Start
"Congo, Dem. Rep. of",0,Alexandre Luba Ntambo,749397818.0,Stub
"Congo, Dem. Rep. of",0,Eric Lenge,797446004.0,Start
"Congo, Dem. Rep. of",0,Munga Mibindo,797435100.0,Stub
